mouseid,SEX,PGM,PCTT10,TOTDIST,TOTREAR,AMBEPIS,AVGVELO,PCTREST,ACTFACT,ANXFACT,1.52.903,1.58.218,1.63.544,1.68.754,1.73.853,1.78.895,1.84.13,1.142.911,1.152.072,1.157.107,1.162.154,1.172.293,1.189.194,1.194.471,2.6.99,2.14.912,2.30.4,2.46.567,2.65.484,2.70.714,2.75.803,2.80.917,2.97.379,2.115.443,2.120.543,2.125.79,2.131.164,2.136.176,2.147.68,2.153.094,2.163.612,2.168.681,2.178.315,3.5.399,3.15.676,3.23.589,3.30.366,3.58.232,3.63.295,3.116.457,3.130.112,3.144.638,4.28.546,4.64.271,4.84.116,4.90.848,4.95.976,4.101.273,4.106.91,4.114.381,4.119.404,4.146.705,4.154.007,5.3.217,5.8.292,5.13.572,5.34.496,5.54.302,5.59.398,5.70.507,5.76.181,5.114.905,5.129.613,6.8.907,6.30.799,6.43.778,6.48.9,6.57.082,6.66.518,6.71.532,6.76.679,6.81.864,6.92.155,6.97.389,6.102.455,6.113.036,6.118.461,6.130.177,6.137.911,7.4.843,7.10.546,7.16.001,7.32.784,7.57.878,7.63.356,7.95.734,7.113.114,7.120.494,7.125.526,8.3.089,8.9.532,8.15.231,8.27.939,8.42.542,8.52.684,8.57.724,8.63.043,8.68.129,8.73.959,8.84.334,8.89.447,8.99.742,8.106.003,8.120.925,9.19.367,9.35.157,9.75.208,9.85.508,9.97.633,9.103.546,9.115.09,9.120.248,10.6.177,10.27.548,10.33.479,10.50.215,10.57.805,10.66.995,10.72.796,10.80.703,10.86.122,10.91.185,10.96.34,10.101.669,10.109.059,10.126.634,11.8.346,11.24.381,11.30.054,11.35.159,11.45.533,11.68.383,11.73.562,11.78.864,11.84.334,11.110.832,11.115.986,11.121.485,12.8.054,12.14.003,12.20.058,12.25.18,12.34.51,12.44.175,12.50.945,12.62.739,12.67.901,12.73.9,12.84.749,12.90.714,12.95.793,12.101.558,12.113.087,13.6.094,13.12.009,13.17.193,13.22.251,13.35.31,13.40.462,13.51.598,13.56.939,13.67.446,13.89.444,13.94.513,13.99.543,14.10.723,14.75.192,14.92.114,14.97.414,14.102.467,14.108.333,15.57.352,15.78.151,15.89.891,15.101.89,16.17.188,16.45.834,16.51.101,16.56.11,16.61.205,16.71.874,16.82.521,16.87.987,16.93.262,16.98.377,17.9.103,17.14.146,17.27.372,17.32.527,17.39.267,17.45.986,17.51.159,17.56.801,17.71.942,18.11.683,18.16.784,18.21.882,18.28.434,18.51.821,18.70.651,18.77.741,18.85.977,19.3.505,19.49.322,X.45.475,X.61.66,X.85.251,X.100.299,X.106.858,X.125.593,X.151.946
146808,0,0,22.8,3229.1,127,104,32.67,49.8,0.02,-0.223,H,H,H,H,H,H,-,-,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,B,B,B,-,B,B,H,C,C,C,C,H,-,H,H,H,H,H,B,H,H,H,C,C,C,C,C,-,C,C,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,-,H,H,-,C,H,H,C,C,C,C,C,C,C,C,C,C,C,-,H,H,H,H,H,H,H,-,H,B,B,H,H,C,-,C,C,C,C,H,H,B,B,-,B,B,B,B,B,B,B,B,B,C,C,C,H,B,-,B,B,-,B,H,H,B,B,B,H,H,B,B,B,B,H,H,H,C,B,H,H,H,H,H,H,H,H,H,C,C,C,C,C,H,H,H,H,C,C,H,H,H,B,B,-,H,H,H,H,H,-,-,H,-
146813,0,0,15.57,3618.8,111,134,35.41,49.4,0.55,-0.416,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,C,C,C,C,H,C,C,C,C,H,H,H,H,H,H,C,C,C,C,C,B,B,B,H,H,H,H,H,C,C,-,H,B,B,B,B,-,B,B,B,B,B,B,-,H,H,C,C,C,H,H,H,C,-,C,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,-,H,H,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,-,C,C,C,C,H,H,H,B,B,B,-,B,B,C,C,C,H,H,H,H,H,H,H,C,C,H,H,H,C,C,C,C,C,H,C,C,C,C,C,C,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,B,B,B,B,B,-,B,B,H,H,H,H,H,-,H,H,B
146814,0,0,9.75,5135.4,160,165,39.43,47.65,1.83,-0.443,H,H,H,H,B,B,B,B,B,B,-,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,-,C,C,C,C,C,C,H,C,C,H,-,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,-,H,C,C,C,C,C,C,C,C,-,C,-,H,C,H,H,H,C,C,C,C,C,C,B,B,B,B,B,H,H,H,H,H,H,C,C,C,B,B,B,B,B,B,B,B,B,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,-,B,B,B,B,B,C,C,C,C,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,H,H,C,C,-,C,C,C,B,H,H,H,B,B,B,H,B,B
146815,0,0,21.18,5348.8,85,183,36.11,41.13,2.09,-0.135,H,H,H,H,H,H,H,C,C,C,C,C,C,C,B,B,H,H,H,H,H,H,H,H,-,H,B,B,B,B,B,B,H,C,C,-,C,-,C,C,H,H,C,C,C,C,C,H,H,H,H,B,B,H,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,-,-,B,B,H,H,H,B,-,B,B,B,B,B,H,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,C,C,C,C,C,C,H,H,H,-,H,H,H,H,H,H,H,H,B,B,B,B,B,B,-,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,C,C,C,C,C,H,B,B,B,B,-,-,H,H,H,H,H,H,H,C,-,C,C,C,H,C,C,C,C,H,H,H,H,H,H,B,B,B,-,H,H,H,H,H,H,H,B,B,B,B,B,B,B,-,B,H,B,B,B,B,-,B,H,H
146816,0,0,33.47,3592.7,50,132,42.12,50.28,0.03,1.636,H,H,H,H,C,C,C,C,C,C,C,C,C,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,H,B,B,B,-,H,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,-,H,B,B,-,B,B,B,B,B,-,C,H,H,-,H,H,H,H,H,H,-,H,H,H,C,C,C,C,-,C,C,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,-,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,C,B,B,B,-,B,B,B,H,H,-,H,H,H,H,H,H,H,H,H,H,-,H,H,H,B,B,B,C,H,B,B,B,B,H,H,H,H,H,H,H,-,H,H,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,B,B,B,-,B,H,B
146817,0,0,33.77,2850.3,24,94,42.27,52.3,-0.94,1.744,H,H,H,H,H,H,B,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,-,H,C,C,C,C,C,-,H,C,C,-,C,C,H,H,H,H,H,-,H,H,H,H,H,H,-,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,H,-,H,H,H,H,H,H,H,B,B,B,B,B,B,H,H,H,B,-,B,B,B,B,-,H,H,H,H,H,-,C,B,B,B,B,B,B,C,C,C,H,H,H,H,H,H,H,B,B,-,B,H,C,C,C,C,H,H,H,H,B,B,B,H,H,H,H,H,C,C,C,C,C,C,C,C,C,C,H,C,H,C,C,C,C,H,H,H,H,H,H,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,H,C,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,-,H,C,B,B,B,-,H,-,-
147838,0,0,24.82,4766.9,91,153,33.59,43.75,1.37,-0.128,C,C,C,C,-,C,C,H,H,B,B,B,H,H,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,-,C,C,H,H,B,B,B,B,B,B,-,B,B,-,H,H,H,H,H,H,H,-,H,H,H,B,B,B,B,B,-,B,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,H,H,H,C,C,C,C,C,H,H,H,H,-,H,H,H,H,B,H,H,H,H,H,H,B,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,H,H,C,C,C,C,C,C,C,C,H,C,B,B,B,B,B,B,B,B,B,B,H,H,H,H,C,C,C,H,H,H,H,B,B,B,B,B,B,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,B,B,B,B,B,H,H,-,H,H,H,B,B,B,-,B,B
147839,0,0,17.7,4127.8,122,137,38.8,51.83,0.67,0.132,H,H,H,H,H,C,C,C,-,H,H,B,B,B,H,H,H,-,H,H,H,H,B,B,B,B,B,B,B,B,B,B,-,C,C,C,C,C,C,H,B,B,H,C,C,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,B,B,B,-,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,H,H,C,C,C,C,C,-,H,B,C,C,C,C,C,C,C,C,C,C,C,-,H,H,H,B,-,H,H,H,H,H,H,H,B,B,B,B,-,B,B,B,B,B,B,B,H,C,C,C,C,H,B,B,B,B,B,-,B,C,C,C,C,C,H,-,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,C,B,B,B,B,B,H,H,-,H,H,H,H,H,H,H,-,B
147840,0,0,25.62,3165.3,83,102,37.54,52,-0.36,0.587,H,H,-,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,B,B,B,-,B,B,-,B,B,B,-,B,B,B,B,B,B,B,B,B,H,H,C,B,-,B,B,-,B,B,B,B,-,H,H,H,-,H,C,H,H,H,H,H,C,C,H,-,C,C,C,C,C,C,C,H,H,H,-,H,B,B,B,B,B,B,-,-,B,B,H,B,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,H,B,-,B,B,H,H,B,B,B,B,B,-,B
147841,0,0,29.03,3108.4,83,101,35.88,51.55,-0.4,0.619,B,-,B,B,H,H,H,H,H,H,H,H,B,B,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,C,H,H,H,H,H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,C,C,C,H,H,H,B,B,B,B,B,B,B,B,B,-,B,H,B,B,B,B,B,B,B,B,B,B,H,H,C,C,C,C,H,H,H,H,H,H,H,H,B,-,C,C,C,H,H,H,H,H,H,H,H,H,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,-,H,H,H,H,H,H,B,H,H,H,H,H,C,C,C,C,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,B,H,B,B,B,B,B,B,B,B,B,H,H,H,C,H,H,H
147842,0,0,29.73,2936.9,118,111,43.26,53.15,-0.36,1.584,-,-,-,-,-,B,-,-,-,-,-,C,-,-,-,B,-,-,-,-,-,C,-,-,-,-,-,-,-,-,-,-,B,-,C,-,-,B,-,-,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H,B,-,-,C,-,-,-,-,C,-,-,C,-,-,-,-,-,C,-,-,-,-,-,-,-,-,C,-,-,-,-,-,-,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,C,B,B,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,B,C,-,-,-,-,-,-,B,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,H,-,-,B,C,-,-,-,-,-,B,-
148861,0,0,15.4,2702.7,53,95,38.56,53.33,-0.73,0.053,C,C,-,C,-,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,-,H,B,B,B,B,B,B,B,B,-,H,B,B,B,H,H,C,C,C,C,H,-,-,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,C,C,C,C,C,C,-,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,-,C,C,C,H,H,H,-,H,H,-,H,H,H,H,C,B,H,H,H,C,C,H,H,H,H,H,H,-,H,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,C,C,C,H,H,H,H,H,H,H,H,H,H,B,-,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,C,C,H,H,H,-,H,H,B
148862,0,0,12.87,3860.3,46,129,33.12,50.67,0.33,-0.877,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,-,B,B,B,B,B,H,C,C,C,H,H,-,H,H,H,C,B,B,B,-,B,B,B,B,B,H,B,B,H,H,H,H,H,-,B,B,C,-,H,H,H,H,H,H,H,-,H,H,H,B,B,B,C,C,C,C,C,C,H,H,H,-,H,H,H,H,H,H,-,H,H,H,H,H,H,H,B,-,C,C,H,H,H,B,B,B,B,B,B,B,H,B,B,B,-,B,H,H,H,H,H,H,H,H,H,C,C,C,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,-,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,C,H,H,H,H,-,H,H,B,B,H,H,H,H,H,H,H
148863,0,0,25.37,3190.3,114,105,35.72,50.48,-0.11,0.332,B,B,B,B,B,H,H,B,B,B,B,H,B,B,C,C,C,C,C,C,C,C,C,H,H,-,H,H,H,H,H,H,H,-,H,H,H,C,C,C,C,C,H,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,-,C,C,C,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,C,-,H,H,H,B,B,B,B,B,B,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,B,-,-,B,B,B,B,B,H,B,B,B,B,H,H,H,-,C,C,B,B,B,B,B,-,B
148864,0,0,17.48,2806.9,52,94,37.49,53.78,-0.73,0.065,C,C,C,C,-,C,C,C,H,C,C,C,C,H,C,H,H,H,H,H,H,H,H,H,H,H,-,-,H,H,H,H,H,-,B,B,B,B,B,H,B,B,B,B,H,H,H,H,H,H,H,H,-,B,B,B,H,-,H,H,H,H,H,C,C,C,C,-,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,-,H,H,H,H,H,B,B,B,B,-,B,B,B,B,-,H,H,H,H,H,H,H,C,H,-,H,H,-,H,H,H,H,H,H,H,H,H,C,C,H,B,B,B,B,B,B,H,H,H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,-,C,C,H,-,C,C,C,H,C,C,C,C,H,H,H,-,B,B,B,B,B,H,H,H,H,H,H,H,H,-,H,B,B,B,B,H,H,H,-,C,C,B,H,H,H,H,H,H
153019,0,0,18.33,2958,127,93,30.89,56.08,-0.47,-0.666,C,C,C,C,H,C,C,-,C,C,C,C,C,C,B,B,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,B,B,B,B,H,H,C,C,C,B,C,-,-,H,H,H,H,H,H,B,B,B,-,B,H,H,H,H,H,H,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,H,H,H,H,-,B,B,B,B,B,-,B,B,B,B,B,B,-,B,B,-,H,H,C,C,H,H,-,B,H,-,H,H,H,H,H,H,H,-,-,H,B,-,B,B,B,H,H,H,H,H,H,H,H,H,H,-,-,-,-,H,H,H,H,H,H,B,B,C,-,C,-,C,C,-,-,C,C,C,C,C,C,C,C,C,C,H,H,H,H,C,C,C,H,H,H,H,H,H,H,B,B,-,B,B,B,B,B,B,H,-,-,-,-,H,H,-,C,-,H,H,H,-,-,H,-
153020,0,0,17.92,3023.7,85,110,35.21,54.85,-0.36,-0.187,C,C,C,C,C,C,C,-,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,H,H,C,C,C,C,C,C,H,-,-,H,-,H,H,H,H,H,H,B,B,-,B,H,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,B,B,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,H,-,H,H,H,H,H,H,-,H,H,-,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,-,C,-,C,C,C,-,C,-,C,C,C,H,H,H,H,-,H,-,H,H,H,H,C,C,C,C,H,H,H,H,H,H,-,-,H,H,H,H,C,C,H,C,H,-,H,H,H,C,C,B,H,H,H,H,-,H,H,H,H,H,H,-,H,H,H,H,-,B,H,H,-,-,B,B,H,-,B,B,B,B,B,-,-,H,H
153022,0,0,32.45,3667.2,45,123,40.04,50.05,-0.03,1.308,H,H,B,H,C,H,H,B,B,B,B,B,C,C,H,H,H,-,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,-,H,H,H,-,C,C,C,C,C,-,C,C,C,C,C,C,B,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,-,-,H,H,C,C,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,C,H,H,H,-,B,B,B,B,H,B,B,B,B,H,H,C,C,H,H,H,H,C,H,-,H,H,H,H,H,-,-,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,C,-,C,-,C,C,C,C,C,C,C,C,H,H,H,H,H,H,B,-,B,B,B,B,B,B,B,B,B,B,C,H,B,B,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,-,C,C,H,H,-,C,H,B,B,B,-,-,B,-
155966,0,0,25.85,4604.7,83,161,38.74,44.92,1.27,0.587,H,H,H,H,B,B,B,B,B,B,B,B,B,C,-,B,H,H,-,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,-,H,H,H,H,H,H,B,B,H,H,H,H,B,B,B,B,H,-,-,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,-,H,H,-,H,H,H,H,H,B,H,H,-,B,-,B,B,B,B,B,B,B,B,-,H,H,H,C,C,C,C,C,C,B,B,B,B,-,H,B,B,-,B,B,B,B,B,B,B,B,B,B,B,-,B,B,H,C,C,C,H,H,H,B,H,H,-,H,H,H,H,H,H,H,-,B,B,B,H,-,-,H,H,H,H,H,-,C,C,C,C,C,B,B,B,B,C,C,C,C,H,H,H,H,H,H,H,C,C,C,C,C,C,C,H,H,H,H,H,H,H,B,B,C,C,B,B,B,-,-,H,B
155967,0,0,25.9,4157.6,47,146,40.32,44.57,0.77,0.808,H,H,-,H,H,H,H,H,H,H,H,B,B,B,C,H,H,H,H,C,C,C,C,C,C,C,C,H,H,H,H,H,H,B,B,B,H,H,H,H,-,H,B,B,-,-,H,H,H,H,H,H,C,B,B,H,C,C,C,C,-,C,H,H,H,H,H,H,H,H,-,H,-,H,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,B,-,-,H,H,H,H,H,H,-,H,H,H,H,H,H,-,C,C,C,C,C,C,H,H,H,H,H,C,C,C,C,-,C,C,H,B,H,H,H,H,H,H,C,C,C,H,H,H,C,C,C,B,H,H,H,H,H,H,H,H,H,H,H,-,B,-,B,B,B,B,-,B,B,B,B,H,H,B,B,B,B,C,C,C,C,H,H,H,C,C,C,C,C,C,C,H,H,H,H,H,H,C,C,C,B,B,-,B,B,B,H,-,C,C,B,B,H,-,H,H,B
155968,0,0,14.73,3711.1,62,119,38.41,48.62,0.24,-0.12,C,C,H,H,-,H,H,-,H,B,H,B,-,B,H,C,C,-,H,H,-,B,B,B,B,-,B,-,B,B,B,B,-,H,H,H,C,H,H,H,H,H,C,-,C,C,C,C,C,H,H,H,-,B,B,B,B,B,B,B,H,H,H,C,C,H,-,C,C,C,C,C,-,C,C,C,H,H,-,C,C,C,H,H,H,H,H,B,B,H,H,H,H,H,-,-,H,H,H,H,H,H,-,C,H,H,-,H,-,H,H,H,C,C,-,C,C,C,C,C,C,H,C,C,C,C,H,H,H,H,B,H,H,C,H,C,C,C,H,B,H,H,H,-,H,H,H,H,B,B,B,B,H,-,H,H,B,B,H,B,H,-,H,C,C,C,H,H,H,-,B,B,B,H,C,H,C,-,C,H,H,-,H,H,H,C,C,H,-,H,H,H,H,-,H,-,H,H,C,C,C,C,C,H,H,H,H,-,-,H,H
155969,0,0,19.3,2377.3,36,87,35.68,61.75,-1.43,0.076,H,H,H,-,-,H,H,-,H,-,-,H,-,H,-,H,B,-,-,H,H,-,H,C,C,-,-,-,C,C,C,C,C,H,H,H,H,H,-,C,B,B,H,-,B,-,B,-,B,B,B,H,C,H,H,-,-,B,H,H,H,H,-,-,H,H,-,H,H,H,H,B,-,-,H,H,H,H,-,H,H,H,-,B,-,B,B,B,H,H,H,-,C,C,C,C,C,C,C,C,C,C,H,C,-,-,H,-,-,H,H,H,-,H,H,H,-,-,H,-,H,H,H,H,H,B,C,C,C,H,H,H,H,C,-,H,-,H,H,H,H,H,H,-,H,-,H,H,-,H,C,C,C,-,-,H,H,H,-,H,-,H,H,H,H,H,B,B,B,B,B,H,H,H,B,H,C,C,C,C,-,C,C,C,-,C,H,H,-,H,-,-,H,H,C,C,-,H,H,H,-,H,H,H,-,-,H,-,H,C,B
155973,0,0,8.33,2181.7,71,71,32.54,62.83,-1.5,-1.034,C,C,C,C,C,C,C,H,H,B,-,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,B,B,B,B,H,-,C,-,H,H,B,B,B,B,B,B,B,B,H,C,B,B,B,B,H,H,H,H,C,-,C,H,H,H,H,H,H,H,H,-,-,-,H,H,H,H,H,H,-,H,B,B,H,H,H,H,H,H,-,H,H,H,-,H,H,-,-,H,H,-,H,B,B,H,-,C,C,C,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,C,C,-,H,H,H,H,H,H,H,H,H,-,H,H,H,H,C,-,C,C,C,C,-,C,C,C,C,C,-,C,C,-,-,H,H,H,H,H,B,C,C,C,C,C,-,H,H,B,H,C,C,C,C,C,C,C,C,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,B,B,B,H,H,H,H,H,-,H,-,B
155974,0,0,23.27,3704.6,54,136,37.9,49.8,0.29,0.414,C,C,-,H,H,C,C,-,-,C,H,-,-,H,-,C,B,-,C,H,H,C,-,C,-,-,H,-,H,H,H,H,-,-,-,H,-,C,C,C,-,H,H,-,B,H,H,C,H,H,-,H,-,H,B,H,-,-,B,H,H,H,B,H,H,H,C,H,H,H,-,-,-,C,C,H,H,H,C,H,H,C,B,-,-,-,-,B,H,H,-,H,H,H,-,-,C,H,-,H,C,H,-,-,H,H,H,B,-,C,-,C,H,-,C,C,C,H,H,C,C,-,-,C,B,-,C,H,-,H,-,B,-,H,-,C,-,-,-,H,H,B,B,C,C,B,H,-,-,B,H,B,-,-,H,B,-,H,-,C,H,H,B,H,-,H,-,B,H,B,B,H,H,H,B,C,H,C,C,C,H,H,C,B,H,C,-,-,B,-,C,C,H,-,C,C,B,-,C,C,C,-,-,-,H,H,-,-,H,C,C
155975,0,0,26.03,3847.7,67,125,33.2,44.47,0.53,-0.026,C,-,-,H,H,-,B,H,-,B,B,B,B,-,-,H,C,-,-,H,C,H,-,-,-,C,H,H,B,H,-,B,H,-,H,-,-,H,B,H,H,H,C,H,-,-,H,B,H,-,B,C,B,B,H,-,H,-,-,H,H,-,-,C,C,C,-,-,C,H,-,H,B,-,C,-,H,H,-,H,-,-,-,H,H,B,-,-,-,-,C,H,-,H,C,B,C,-,H,H,H,H,-,H,B,H,-,-,-,H,-,H,-,-,B,-,-,-,B,H,-,-,H,C,-,C,B,-,B,-,-,B,B,H,H,C,H,C,-,-,H,H,B,-,-,C,H,-,C,B,B,H,-,-,-,-,B,C,-,B,B,-,H,H,H,-,-,C,-,B,-,H,B,-,H,-,H,-,C,H,-,-,H,-,C,-,H,-,H,-,C,H,B,H,H,-,-,-,B,-,-,B,H,-,H,-,-,-,H,C,H
155994,0,0,28.82,2849.4,64,103,38.3,58.08,-0.87,0.978,H,H,-,B,B,-,B,B,B,H,H,H,H,H,C,C,C,H,H,H,H,H,H,B,-,B,B,B,B,B,B,B,B,C,-,H,H,H,H,C,C,C,H,H,H,H,H,H,C,C,C,-,C,H,H,H,H,-,H,H,H,H,-,H,H,H,-,H,H,H,-,H,-,C,H,H,H,-,H,H,H,-,H,C,C,C,-,-,C,C,C,-,C,C,H,H,H,H,B,H,H,H,H,H,H,C,C,C,C,C,H,-,H,H,H,H,H,C,C,-,C,H,C,C,C,C,C,C,C,C,C,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,-,-,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,B,-,H,H,B,H,-,H,H,H,C,H,-,H,H,-,H,H,H,-,H,H,H,-,H,H,H,-,H,C,C,C,C,C,H,-,H,B,B,B,B,-,B,-,B,B
155995,0,0,14,2957.7,38,96,35.46,56.17,-0.76,-0.405,C,H,-,C,H,-,B,B,H,B,H,-,-,-,C,B,B,C,-,C,C,-,H,-,C,B,H,B,-,H,H,-,-,H,H,B,-,-,H,B,-,H,C,-,-,-,H,C,-,H,-,H,-,H,-,C,H,-,-,H,H,H,-,B,C,H,B,H,-,H,C,B,-,C,C,-,-,H,-,-,B,C,-,H,H,-,-,H,H,H,-,H,H,B,C,B,C,C,-,H,H,H,C,C,-,-,C,H,H,H,-,B,-,H,B,H,-,-,H,H,-,B,H,-,H,C,-,C,B,H,-,H,-,H,H,-,H,C,B,H,H,H,B,-,H,C,H,H,-,B,C,H,C,H,-,H,H,-,-,-,B,B,H,H,C,H,B,B,C,B,C,-,H,H,C,-,H,B,C,H,B,-,H,-,-,-,C,H,-,H,-,H,C,-,C,H,H,-,-,H,-,H,B,-,H,H,C,-,-,C,C
